Quarter,Revenue
31-Dec-08,14.16
31-Mar-09,20.89
30-Jun-09,26.94
30-Sep-09,45.53
31-Dec-09,18.58
31-Mar-10,20.81
30-Jun-10,28.4
30-Sep-10,31.24
31-Dec-10,36.29
31-Mar-11,49.03
30-Jun-11,58.17
30-Sep-11,57.67
31-Dec-11,39.38
31-Mar-12,30.17
30-Jun-12,26.65
30-Sep-12,50.1
31-Dec-12,306.33
31-Mar-13,561.79
30-Jun-13,405.14
30-Sep-13,431.35
31-Dec-13,615.22
31-Mar-14,620.54
30-Jun-14,769.35
30-Sep-14,851.8
31-Dec-14,956.66
31-Mar-15,939.88
30-Jun-15,954.98
30-Sep-15,936.79
31-Dec-15,1214
31-Mar-16,1147
30-Jun-16,1270
30-Sep-16,2298
31-Dec-16,2285
31-Mar-17,2696
30-Jun-17,2790
30-Sep-17,2985
31-Dec-17,3288
31-Mar-18,3409
30-Jun-18,4002
30-Sep-18,6824
31-Dec-18,7226
31-Mar-19,4541
30-Jun-19,6350
30-Sep-19,6303
31-Dec-19,7384
31-Mar-20,5985
30-Jun-20,6036
30-Sep-20,8771
31-Dec-20,10740
31-Mar-21,10390 
